t,id,drive,speed.kmh,occ_nr,x,y,yaw,steer,off,speed,leftTLC,rightTLC,report,OT.or.duration,OTTLC,true.TLC,FADE1.leftTLC,FADE1.rightTLC,FADE1.off,FADE1.TLC.min,FADE0.TLC.min,steer.ampl,steer.min,steer.max,steer.avg,steer.sd,offset.min,offset.max,offset.avg,offset.sd,steer.ampl.360,filter_$,lane.cross,lane.cross.copy,id2,total.search.time,fade1.tlc.min.abs,fade1.off.abs,OT.mean,drive.copy,drive.0
192.482834,P01,9,100,76,8734.756836,272.425659,-163.556854,-.012614,-1.823163,27.7786,-1.320282,5.8,"{""type"":""M"",""msg"":""FADE0"",""time"":192.433,""dist"":5.19173}",1.52311699999998,.202834999999993,.202834999999993,.3,5.7,.990287,.3,-1.320282,.017906,-.026329,-.008423,-.0143155625,.00644348052912141,-1.873519,1.833961,.62995,1.49253996075308,6.44616,1,1,1,P01,72.39933332,.3,.990287,1.87783157894737,9,9
196.240311,P01,9,100,78,8633.833008,245.726669,-166.576859,-.004191,.056792,27.7779,4.4,6.7,"{""type"":""M"",""msg"":""FADE0"",""time"":196.153,""dist"":5.2951}",2.139252,6.539252,0,5.6,7.9,.993267,5.6,4.4,.00704,-.009237,-.002197,-.00608504545454545,.00182332097525035,.056792,.993267,.475523772727273,.306697250550648,2.5344,1, ,0,P01,72.39933332,5.6, ,1.87783157894737,9,9
199.591843,P01,9,100,79,8542.68457,226.748184,-170.571884,-.011271,1.303447,27.7776,-.4077,5.1,"{""type"":""M"",""msg"":""FADE0"",""time"":199.546,""dist"":5.38937}",2.84471200000002,2.43701200000001,2.43701200000001,3.6,6.1,.107298,3.6,-.4077,.007039,-.012085,-.005046,-.0106663793103448,.00200513815722425,.107298,1.303447,.695639,.356271018997977,2.53404,1,1,1,P01,72.39933332,3.6,.107298,1.87783157894737,9,9
16.782595,P02,9,100,3,9452.823242,4691.874512,-60.61105,-.002686,-.504868,27.7727,7.4,10,"{""type"":""M"",""msg"":""FADE0"",""time"":16.7679,""dist"":0.307078}",1.522861,8.922861,0,34.9,4.4,.373851,4.4,7.4,.00472,-.006226,-.001506,-.0025485,.00133649826038046,-.504868,.373851,-.1306449375,.28459802536946,1.6992,1, ,0,P02,94.0119998366667,4.4, ,1.93353287671233,9,9
19.312969,P02,9,100,4,9486.769531,4630.308594,-61.992149,-.006388,.013078,27.7777,4.9,10.9,"{""type"":""M"",""msg"":""FADE0"",""time"":19.2504,""dist"":0.376054}",2.025026,6.925026,0,4.9,6.9,-.576228,4.9,4.9,.007039,-.006388,.000651,-.00472014285714286,.00209359987308259,-.576228,.013078,-.337128904761905,.191368863477031,2.53404,1, ,0,P02,94.0119998366667,4.9, ,1.93353287671233,9,9
21.135862,P02,9,100,5,9509.723633,4585.163574,-64.393539,-.011108,.521359,27.7776,9.6,6.8,"{""type"":""M"",""msg"":""FADE0"",""time"":21.0853,""dist"":0.427037}",1.318824,8.118824,0,12.8,10,.223368,10,6.8,.00118,-.012085,-.010905,-.0115790714285714,.000435252263597828,.223368,.521359,.408763,.0984434206607258,.4248,1, ,0,P02,94.0119998366667,10, ,1.93353287671233,9,9
24.893034,P02,9,100,6,9551.826172,4489.645508,-67.426765,-.006063,.061982,27.7775,28,22.4,"{""type"":""M"",""msg"":""FADE0"",""time"":24.7949,""dist"":0.530115}",3.249872,25.649872,0,8.8,6.1,.510975,6.1,22.4,.009074,-.010905,-.001831,-.00577312121212121,.00276395787049088,.037713,.510975,.216549545454545,.1698188596117,3.26664,1, ,0,P02,94.0119998366667,6.1, ,1.93353287671233,9,9
28.441883,P02,9,100,7,9587.213867,4397.621094,-70.610069,-.007243,-.17455,27.7778,9.4,4.7,"{""type"":""M"",""msg"":""FADE0"",""time"":28.4276,""dist"":0.631051}",3.141619,7.841619,0,12.5,8.5,.087029,8.5,4.7,.000976,-.008219,-.007243,-.00730909375,.000240425209264753,-.17455,.106113,.03175753125,.0851937146693363,.35136,1, ,0,P02,94.0119998366667,8.5, ,1.93353287671233,9,9
32.295319,P02,9,100,8,9620.963867,4296.01416,-72.926697,-.007243,-.592184,27.7776,8.7,3.8,"{""type"":""M"",""msg"":""FADE0"",""time"":32.2867,""dist"":0.738282}",3.344677,7.144677,0,16,20.5,-.317791,16,3.8,.005737,-.007243,-.001506,-.00440179411764706,.00195376618090838,-.592184,-.317791,-.512601147058824,.0678105671621799,2.06532,1, ,0,P02,94.0119998366667,16, ,1.93353287671233,9,9
35.756519,P02,9,100,9,9648.503906,4203.870605,-73.983116,-.00472,-.02447,27.7775,7.1,36.4,"{""type"":""M"",""msg"":""FADE0"",""time"":35.656,""dist"":0.831902}",2.94876799999999,10.048768,0,8.7,11.3,-.662378,8.7,7.1,.007863,-.00472,.003143,-.00157336666666667,.0026237489693229,-.694392,-.02447,-.459898366666667,.221562949297981,2.83068,1, ,0,P02,94.0119998366667,8.7, ,1.93353287671233,9,9
39.51231,P02,9,100,10,9674.178711,4102.73877,-77.307655,-.003866,-.040828,27.778,18,7.9,"{""type"":""M"",""msg"":""FADE0"",""time"":39.4842,""dist"":0.938271}",3.349834,11.249834,0,12.6,9.7,.118403,9.7,7.9,.005371,-.009237,-.003866,-.00716991176470588,.00198925898138199,-.040828,.341519,.217314647058824,.113378986941994,1.93356,1, ,0,P02,94.0119998366667,9.7, ,1.93353287671233,9,9
44.578838,P02,9,100,11,9702.119141,3964.783936,-80.499825,-.005046,-1.46749,27.7779,3.2,-.609455,"{""type"":""M"",""msg"":""FADE0"",""time"":44.4906,""dist"":1.07738}",4.55792599999999,3.948471,3.948471,7.7,10.4,-.175105,7.7,-.609455,.008423,-.007243,.00118,-.00513234782608696,.00255398914308483,-1.46749,-.175105,-.620841782608696,.364502388078256,3.03228,1,1,1,P02,94.0119998366667,7.7,.175105,1.93353287671233,9,9
50.567356,P02,9,100,15,9734.625977,3801.641113,-81.333252,-.019816,-.208073,27.777,-2.025871,-1.116825,"{""type"":""M"",""msg"":""FADE0"",""time"":50.5521,""dist"":1.2458}",.709216999999995,-1.316654,0,-1.316654,-.407608,-.629956,-1.316654,-2.025871,.001892,-.021708,-.019816,-.021297125,.000712381807239429,-.629956,-.208073,-.38162125,.149822447885822,.68112,1, ,0,P02,94.0119998366667,1.316654, ,1.93353287671233,9,9
51.783646,P02,9,100,16,9739.027344,3768.137207,-84.107353,-.02115,-.608329,27.7767,-3.242161,-2.333115,"{""type"":""M"",""msg"":""FADE0"",""time"":51.7409,""dist"":1.27884}",.708770999999999,-2.53339,0,-2.53339,-1.624344,-.212298,-2.53339,-3.242161,.002514,-.02115,-.018636,-.019919625,.00108728901894312,-.608329,-.212298,-.37655575,.139988900807732,.90504,1, ,0,P02,94.0119998366667,2.53339, ,1.93353287671233,9,9
54.724846,P02,9,100,18,9746.290039,3686.737793,-83.991913,.002818,-.043204,27.7788,7.8,10.5,"{""type"":""M"",""msg"":""FADE0"",""time"":54.7097,""dist"":1.36133}",.607056,8.407056,0,5.2,7.1,.269524,5.2,7.8,.006226,.002492,.008718,.00474771428571429,.00223300445695075,-.043204,.269524,.101286,.113276418693389,2.24136,1, ,0,P02,94.0119998366667,5.2, ,1.93353287671233,9,9
56.145676,P02,9,100,19,9750.661133,3647.501709,-83.13546,.001994,-.140672,27.7778,4.2,7,"{""type"":""M"",""msg"":""FADE0"",""time"":56.1237,""dist"":1.40062}",.912938000000004,5.112938,0,4.3,6,-.196567,4.3,4.2,.007212,.001994,.009206,.006125,.00231422998953096,-.228957,-.140672,-.2014244,.0293182236850128,2.59632,1, ,0,P02,94.0119998366667,4.3, ,1.93353287671233,9,9
57.77211,P02,9,100,20,9755.827148,3602.606934,-84.085411,-.007406,.288155,27.7778,9.3,6.5,"{""type"":""M"",""msg"":""FADE0"",""time"":57.6723,""dist"":1.44365}",1.11788199999999,7.61788199999999,0,23.3,19.3,.028821,19.3,6.5,.003703,-.007894,-.004191,-.00674783333333333,.000935036200887269,.028821,.288155,.18314225,.086530422647051,1.33308,1, ,0,P02,94.0119998366667,19.3, ,1.93353287671233,9,9
