id,car,task,order,attentive_percentage,inattentive_percentage,eyeglasses,age,gender,dr_lic_years,annual_km,lifetime_km,VST1,VST2,VST3,VST_avg,tasks,zero_tasks,inattentiveness_ratio,Zorder,Ztasks,Zdr_lic_years,Zage,Zinattentiveness_ratio
ID7P14,ID7,ac_temp,3,98.8603988603989,1.13960113960114,2,19,2,1,2000,5000,27,35,29,30.33,23,0,1.82725060817914,-.869581991249919,1.53582109918964,-1.39485416445702,-1.47673496138429,.0747139492097836
ID7P14,ID7,ajotila,9,96.4285714285714,3.57142857142857,2,19,2,1,2000,5000,27,35,29,30.33,29,0,3.90406673598405,1.21741478774988,2.23284594319782,-1.39485416445702,-1.47673496138429,1.47762351454873
ID7P14,ID7,a_baseline, ,99.8290598290598,.170940170940171,2,19,2,1,2000,5000,27,35,29,30.33, ,0, , , ,-1.39485416445702,-1.47673496138429, 
ID7P14,ID7,kirkkaus,4,95.756880733945,4.24311926605505,2,19,2,1,2000,5000,27,35,29,30.33,20,0,4.47770039486932,-.521749194749952,1.18730867718554,-1.39485416445702,-1.47673496138429,1.86511865014416
ID7P14,ID7,lane,10,95.9382151029748,4.06178489702517,2,19,2,1,2000,5000,27,35,29,30.33,30,0,4.32283819650865,1.56524758424985,2.34901675053252,-1.39485416445702,-1.47673496138429,1.76050772360092
ID7P14,ID7,latausasema,5,95.0800915331808,4.91990846681922,2,19,2,1,2000,5000,27,35,29,30.33,2,0,5.05568825242671,-.173916398249985,-.903765854839006,-1.39485416445702,-1.47673496138429,2.25555508944226
ID7P14,ID7,navi,8,93.2378223495702,6.7621776504298,2,19,2,1,2000,5000,27,35,29,30.33,6,0,6.62901302959039,.869581991249917,-.439082625500217,-1.39485416445702,-1.47673496138429,3.31835133303685
ID7P14,ID7,puhelu,6,95.2706552706553,4.72934472934473,2,19,2,1,2000,5000,27,35,29,30.33,14,0,4.89294403867944,.173916398249983,.490283833177361,-1.39485416445702,-1.47673496138429,2.14561978457205
ID7P14,ID7,radio,7,91.1290322580645,8.87096774193548,2,19,2,1,2000,5000,27,35,29,30.33,11,0,8.42995055290104,.52174919474995,.14177141117327,-1.39485416445702,-1.47673496138429,4.53490220829453
ID7P14,ID7,seat,2,98.4597832287507,1.54021677124929,2,19,2,1,2000,5000,27,35,29,30.33,25,0,2.16938220599256,-1.21741478774989,1.76816271385903,-1.39485416445702,-1.47673496138429,.305827182948226
ID7P15,ID7,ac_suunta,6,94.2561746122918,5.74382538770821,2,42,1,1,5000,4500,30,27,28,28.33,11,0,1.31741246957312,.173916398249983,.14177141117327,-1.39485416445702,.0491425943888286,-.26968668975337
ID7P15,ID7,ac_temp,10,94.3645773433008,5.63542265669925,2,42,1,1,5000,4500,30,27,28,28.33,18,0,1.29623589672957,1.56524758424985,.95496706251615,-1.39485416445702,.0491425943888286,-.283991671405604
ID7P15,ID7,ajotila,1,95.6446991404011,4.35530085959885,2,42,1,1,5000,4500,30,27,28,28.33,27,0,1.04616293055428,-1.56524758424985,2.00050432852843,-1.39485416445702,.0491425943888286,-.452918400923449
ID7P15,ID7,a_baseline, ,95.8810068649886,4.11899313501144,2,42,1,1,5000,4500,30,27,28,28.33, ,0, , , ,-1.39485416445702,.0491425943888286, 
ID7P15,ID7,kirkkaus,9,95.5568378534334,4.44316214656665,2,42,1,1,5000,4500,30,27,28,28.33,0,1,1.06332671348008,1.21741478774988,-1.1361074695084,-1.39485416445702,.0491425943888286,-.441324098027961
ID7P15,ID7,lane,5,95.0574712643678,4.94252873563218,2,42,1,1,5000,4500,30,27,28,28.33,25,0,1.16087843427674,-.173916398249985,1.76816271385903,-1.39485416445702,.0491425943888286,-.375426958464837
ID7P15,ID7,latausasema,3,95.2243958573073,4.77560414269275,2,42,1,1,5000,4500,30,27,28,28.33,2,0,1.12826956207527,-.869581991249919,-.903765854839006,-1.39485416445702,.0491425943888286,-.397454569919643
ID7P15,ID7,navi,8,95.6822107081174,4.31778929188256,2,42,1,1,5000,4500,30,27,28,28.33,5,0,1.03883501142507,.869581991249917,-.555253432834914,-1.39485416445702,.0491425943888286,-.457868481820247
ID7P15,ID7,puhelu,2,96.4942528735632,3.50574712643678,2,42,1,1,5000,4500,30,27,28,28.33,11,0,.880201830244647,-1.21741478774989,.14177141117327,-1.39485416445702,.0491425943888286,-.56502674406534
ID7P15,ID7,radio,7,95.7617411225659,4.23825887743414,2,42,1,1,5000,4500,30,27,28,28.33,10,0,1.02329867208039,.52174919474995,.0256006038385723,-1.39485416445702,.0491425943888286,-.468363430691833
ID7P15,ID7,seat,4,96.0829493087558,3.91705069124424,2,42,1,1,5000,4500,30,27,28,28.33,7,0,.960550358550977,-.521749194749952,-.322911818165519,-1.39485416445702,.0491425943888286,-.510750528943205
ID7P16,ID7,ac_suunta,1,89.2369020501139,10.7630979498861,1,37,1,7,5000,30000,30,37,38,35,12,0,1.88896463437101,-1.56524758424985,.257942218507967,-.988804973725597,-.282569917735762,.11640237626936
ID7P16,ID7,ac_temp,9,88.0317640385706,11.9682359614294,1,37,1,7,5000,30000,30,37,38,35,8,0,2.08249044645213,1.21741478774988,-.206741010830822,-.988804973725597,-.282569917735762,.24713095126148
ID7P16,ID7,ajotila,7,89.2917847025496,10.7082152974504,1,37,1,7,5000,30000,30,37,38,35,11,0,1.88015136171672,.52174919474995,.14177141117327,-.988804973725597,-.282569917735762,.110448924568408
